person_sex,black,parent_edu_college,birth_underweight,birth_age,edu_college,mother_marital_at_birth,prt_inc,hh_inc_at_30,hh_inc_at_31,hh_inc_at_32,hh_inc_at_33,hh_inc_at_34,hh_inc_at_35
0,0,0,0,22.5,0,1,40621.2614580558,2141.12615823236,3608.99653979239,3147.09851551957,NaN,NaN,NaN
1,0,0,0,24.5,0,1,40621.2614580558,NaN,NaN,NaN,NaN,NaN,NaN
0,0,0,0,30.5,0,1,40621.2614580558,NaN,NaN,NaN,NaN,NaN,NaN
1,0,0,0,21,0,1,38757.1699808617,NaN,NaN,NaN,NaN,NaN,NaN
0,0,0,0,31,0,1,38757.1699808617,NaN,NaN,NaN,NaN,NaN,NaN
0,0,0,0,24.5,1,1,92920.6502113932,54922.2797927461,51088.3534136546,52858.5178055823,64483.2713754647,50456.204379562,34991.1971830986
1,0,0,0,27.5,0,1,92920.6502113932,26096.6542750929,27919.7080291971,29533.4507042254,27387.9966187659,39556.4516129032,24483.5501147666
1,0,0,0,30.5,0,1,92920.6502113932,29585.798816568,24596.7741935484,25248.6610558531,31571.2187958884,64148.2537419815,31141.1764705882
0,0,0,0,25,0,1,34403.7758654029,104586.559406975,NaN,142623.913123234,NaN,60018.9900432938,NaN
0,0,1,0,30.5,1,1,80961.8082127394,63752.4305682944,NaN,79357.4744984625,NaN,50695.7116788321,NaN
0,0,1,0,32.5,1,1,80961.8082127394,30357.9361830013,NaN,50271.1881589619,NaN,37422.2418512793,NaN
0,0,1,0,34.5,1,1,80961.8082127394,NaN,NaN,NaN,NaN,NaN,NaN
0,0,0,0,32,0,1,34403.7758654029,NaN,NaN,NaN,NaN,NaN,NaN
1,0,0,0,26,1,1,56131.3791830783,NaN,58939.0180281713,NaN,227629.428424603,NaN,NaN
1,0,0,0,27,0,1,56131.3791830783,NaN,NaN,NaN,NaN,NaN,NaN
0,0,0,0,23.5,0,1,42718.5450201036,17469.8795180723,19682.3869104909,38669.1449814126,23074.8175182482,19278.1690140845,19907.0160608622
0,0,0,0,24.5,0,1,42718.5450201036,NaN,NaN,NaN,36936.6197183099,27218.089602705,24530.6451612903
0,0,0,0,27.5,0,1,42718.5450201036,17649.6478873239,16385.460693153,12701.6129032258,13620.5049732211,15506.6079295154,17334.2836778332
0,0,0,0,33.5,1,1,42718.5450201036,14532.1799307958,11721.9973009447,13480.3149606299,19311.6634799235,NaN,18570.5521472393
0,0,0,0,26,1,1,29113.8446745847,18810.6993399999,NaN,43328.3193308141,NaN,52529.2472799812,NaN
1,0,0,0,23,0,1,30661.0818971154,NaN,32331.1442932091,NaN,22160.8578621393,NaN,16161.462557448
0,0,0,0,25,0,1,30661.0818971154,NaN,26786.4142791188,NaN,22387.8075155447,NaN,27082.5434258167
0,0,1,0,21.5,1,1,47831.3292905565,52863.436123348,44618.6742694227,49825.6055363322,53476.383265857,58461.9422572178,54174.6335245379
1,0,1,0,23.5,1,1,47831.3292905565,43739.1003460208,42045.2091767881,43535.4330708661,52326.3224984066,NaN,39662.5766871166
0,0,1,0,35.5,1,1,58881.9339503957,NaN,NaN,NaN,NaN,NaN,NaN
0,0,1,0,27,0,1,59033.243242152,NaN,23490.7975460123,NaN,24217.7700348432,NaN,25777.0983879933
1,0,1,0,35,1,1,59033.243242152,NaN,53323.4126984127,NaN,NaN,NaN,NaN
0,0,1,0,25,1,1,28254.2058784455,21903.8062283737,17712.5506072874,18970.4724409449,20395.1561504143,NaN,51625.7668711656
0,0,1,0,29,0,1,28254.2058784455,NaN,NaN,NaN,NaN,NaN,NaN
0,0,0,0,28.5,0,1,45409.3875937536,37379.0322580645,44529.4567712318,48065.3450807636,50085.5310049893,45143.9446366782,48132.2537112011
0,0,0,0,29.5,0,1,45409.3875937536,27543.9938791125,77290.0146842878,63606.5573770492,NaN,NaN,NaN
0,0,0,0,34.5,0,1,45409.3875937536,33790.6824146982,42020.3951561504,NaN,57837.4233128834,NaN,65040.6504065041
0,0,0,0,34.5,0,1,45409.3875937536,NaN,NaN,NaN,37030.6748466258,NaN,36585.3658536585
0,0,1,0,24.5,1,1,63302.7103529466,42684.0422659129,NaN,42055.2852122195,NaN,50831.8507376868,NaN
1,0,1,0,26.5,1,1,63302.7103529466,NaN,NaN,69239.6471769573,NaN,55963.7923275735,NaN
0,0,1,0,33.5,0,1,63302.7103529466,NaN,NaN,NaN,NaN,NaN,NaN
1,0,1,0,27.5,1,1,17890.9270418259,NaN,NaN,NaN,NaN,NaN,NaN
1,0,1,0,29.5,0,1,17890.9270418259,17063.4920634921,NaN,20943.5075219574,NaN,20086.583263015,NaN
0,1,0,0,16,0,1,17173.0585877893,27950.2382212811,NaN,10019.8412698413,NaN,14955.6671295802,NaN
